Experimental inhibitory activities against 3CLpro,,,
,,,
Sr. no. ,Molecular_SMILES,PubChem-CID,Experimental_activities (Active-1/Inactive-0)
237,s1cc(nc1NC(=O)c1cccc([N+](=O)[O-])c1C(O)=O)-c1cc([N+](=O)[O-])ccc1,3110581,1
238,S(=O)(=O)(N1CCOC1CNC(=O)C(=O)NCCN(C)C)c1ccc(OC)cc1,16807543,1
239,Clc1ccc(NS(=O)(=O)c2cc(ccc2)C(=O)N\N=C\c2ccncc2)cc1,6904494,1
240,Brc1cc(C(=O)\C=C\c2ccccc2F)c(OC(=O)c2occc2)cc1,5734448,1
241,Clc1ccc(S(=O)(=O)N(Cc2ccc(cc2)C(O)=O)Cc2ccccc2)cc1,2396278,1
242,ClCC(=O)N(C(C(=O)NC1CCCCC1)c1cccnc1)c1ccc(OC)cc1,4381126,1
243,Brc1ccc(cc1)C(=O)NCC(=O)N1CCN(CC1)Cc1ccccc1,2420336,1
244,Cl.ClCC(=O)Nc1sc(CN(C)C)c(-c2ccccc2)c1C(OCC)=O,16196190,1
245,S(=O)(=O)(n1c2c(c(C(OCC)=O)c1C)c(C(O)=O)c(O)cc2)c1ccc(cc1)C,7996726,1
246,o1cccc1C(=O)N(C(C(=O)NC1CCCC1)c1cccnc1)c1ccc(cc1)CC,3196510,1
247,Clc1ccc(cc1)-c1nn(cc1C(=O)Nc1ccc(cc1)C(O)=O)-c1ccccc1,2356903,1
248,s1c(nnc1S(=O)(=O)N(CC)c1ccccc1)NC(=O)c1ccccc1OC,16017324,1
249,Brc1cc2c(N(CCN3CCOCC3)C(=O)C2NC(=O)C)cc1.Cl,24747455,1
250,o1cccc1C(=O)N(C(C(=O)NC(C)(C)C)c1cccnc1)c1ccc(cc1)C(C)C,44634770,1
251,Fc1ccccc1C(=O)Nc1ccccc1-c1nn(nn1)CC(=O)NCc1occc1,648374,1
252,o1nc(N)c(n1)-n1nnc(C(=O)N\N=C\c2c3c(ccc2OC)cccc3)c1CCC,9611292,1
253,S=C(Nc1cc(ccc1C)C(O)=O)NC(=O)c1ccc(cc1)COc1ccccc1,1304219,1
254,s1cc(c2c1ncnc2SCC(=O)Nc1ccc(cc1)C(O)=O)-c1ccccc1,2458897,1
255,S1C(C)(C)C(N(O)C(=O)NCCCC)N(\N=C\c2ccc(N(C)C)cc2)C1=S,9636511,1
256,O=C1NC(=O)N(c2nc(n(c12)CCCCC)CN1CCN(CC1)Cc1ccccc1)C,3242436,1
257,S1CC(=O)N(c2cc(ccc12)C(=O)NCCN1CCOCC1)Cc1ccc(cc1)C,3235672,1
258,Clc1cc(ccc1OCCCC)CONS(=O)(=O)c1ccc(NC(=O)C)cc1,1975036,1
